cycle_ts,cycle_date,env,dep_id,milestone,row_id,epic_issue,epic_name,status,status_class
2026-06-04 23:47:38,2026-06-04,,,,77,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,78,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,79,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,80,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,81,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,82,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,83,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,84,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,85,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,86,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,87,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,88,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,89,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,90,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,91,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,92,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,93,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,94,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,95,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,96,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,97,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,98,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,99,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,100,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,101,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,102,3642,vCluster placement (NS#1),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,103,3642,vCluster placement (NS#1),,ABSENT
