row_id,confidence,box,walk_every_cycles,streak,cross_env_proof,observations,cycles_since_walk,decay_applied,due,last_status,last_env,last_measured
M1,0.8018,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
M2,0.685,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
M3,0.685,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
M4,0.6837,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
R1,0.801,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
R2,0.8018,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
R3,0.685,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
R4,0.685,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
R5,0.6871,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
R6,0.801,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
R7,0.6871,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
R8,0.685,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
R9,0.6871,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
W1,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
W2,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
W3,0.5011,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
W4,0.6871,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
W5,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
100,0.0607,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
101,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
102,0.1276,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
103,0.1276,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
104,0.6778,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
105,0.6778,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
106,0.1276,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
107,0.2295,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
108,0.6778,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
109,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
110,0.6671,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
111,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
112,0.6671,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
